Transaction_ID,Customer_ID,Order_Date,Product_Category,Transaction_Amount,Status,Region
TXN_1000,CUST_151,2026-01-01,Peer Transfer,300.0,Completed,LATAM
TXN_1001,CUST_192,2026-01-01,Micro Loan,300.0,Failed,Europe
TXN_1002,CUST_114,2026-01-01,Wealth Management,300.0,Completed,Europe
TXN_1003,CUST_171,2026-01-01,Wealth Management,300.0,Completed,LATAM
TXN_1004,CUST_160,2026-01-01,Crypto Trade,50.0,Completed,LATAM
TXN_1005,CUST_120,2026-01-01,Wealth Management,1200.0,Completed,Europe
TXN_1006,CUST_182,2026-01-01,Micro Loan,1200.0,Completed,LATAM
TXN_1007,CUST_186,2026-01-01,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1008,CUST_174,2026-01-01,Crypto Trade,1200.0,Completed,North America
TXN_1009,CUST_174,2026-01-01,Crypto Trade,50.0,Completed,Asia-Pacific
TXN_1010,CUST_187,2026-01-01,Peer Transfer,150.0,Completed,LATAM
TXN_1011,CUST_199,2026-01-01,Wealth Management,300.0,Failed,Europe
TXN_1012,CUST_123,2026-01-01,Peer Transfer,50.0,Completed,Europe
TXN_1013,CUST_102,2026-01-01,Wealth Management,1200.0,Refunded,Asia-Pacific
TXN_1014,CUST_121,2026-01-01,Peer Transfer,1200.0,Completed,Europe
TXN_1015,CUST_152,2026-01-01,Micro Loan,150.0,Completed,LATAM
TXN_1016,CUST_101,2026-01-01,Wealth Management,50.0,Completed,Asia-Pacific
TXN_1017,CUST_187,2026-01-01,Micro Loan,50.0,Completed,Europe
TXN_1018,CUST_129,2026-01-01,Crypto Trade,300.0,Completed,North America
TXN_1019,CUST_137,2026-01-01,Peer Transfer,5000.0,Completed,North America
TXN_1020,CUST_101,2026-01-01,Crypto Trade,300.0,Completed,LATAM
TXN_1021,CUST_163,2026-01-01,Crypto Trade,50.0,Failed,Europe
TXN_1022,CUST_159,2026-01-01,Crypto Trade,300.0,Completed,LATAM
TXN_1023,CUST_120,2026-01-01,Crypto Trade,150.0,Failed,Asia-Pacific
TXN_1024,CUST_132,2026-01-02,Peer Transfer,300.0,Completed,North America
TXN_1025,CUST_175,2026-01-02,Crypto Trade,50.0,Completed,Asia-Pacific
