scheme_name,fund_house,category,return_3yr_pct,sharpe_ratio,sortino_ratio,daily_var_95_pct
SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,12.36,0.88,1.29,-0.012846228628842571
SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,11.3,0.81,1.29,-0.013500970479935082
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,23.39,0.94,1.35,-0.0245070519056771
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,23.14,0.93,1.67,-0.02685943514961382
SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,6.07,1.52,2.11,-0.003938283121850805
HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,14.84,1.06,1.7,-0.014363639988111142
HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,13.38,0.96,1.45,-0.014591769071140459
HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,16.58,0.87,1.44,-0.019033535861558825
HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,15.29,0.8,1.38,-0.018365320169601018
HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,7.37,1.84,2.79,-0.003793246199522682
ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,11.54,0.82,1.12,-0.01355001716250348
ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.41,1.03,1.27,-0.013728193295939772
ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,18.08,0.95,1.45,-0.01889178619869274
ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,14.76,0.98,1.5,-0.014388462899080912
ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.68,7.68,10.37,-0.00022157351389344714
Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,14.0,1.0,1.68,-0.013954045870018117
Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,12.33,0.88,1.48,-0.013442525143024242
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,20.15,0.81,1.14,-0.025438111458963106
Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,11.77,0.91,1.24,-0.012553697284754662
Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,5.31,1.33,2.38,-0.003804146068944347
Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,12.25,0.87,1.34,-0.013141782186804063
Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,18.23,0.96,1.27,-0.01821853045255608
Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.65,0.98,1.57,-0.014507941385630474
Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,6.18,6.18,9.7,-0.00028479272823556107
Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,11.84,0.85,1.25,-0.013749592076363814
Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,12.14,0.87,1.54,-0.014225516634796053
Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,15.18,0.8,1.18,-0.018480276243938307
Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,20.98,0.84,1.4,-0.02618842440959035
ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,13.78,0.98,1.25,-0.013281661986281489
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,22.38,0.9,1.47,-0.026021248221061066
ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,5.14,5.14,8.76,-0.0002686575130400159
UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,12.1,0.93,1.29,-0.01261262882069356
UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,15.61,0.82,1.21,-0.01922028344426503
UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,15.34,0.96,1.37,-0.015231617279157872
Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,14.81,1.06,1.66,-0.01355977641751056
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.56,0.91,1.55,-0.014711531333512795
Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,13.58,0.8,1.03,-0.017118192655621135
DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,12.82,0.92,1.63,-0.014473851983792741
DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,17.16,0.9,1.5,-0.017882076201903473
DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,20.08,0.8,1.23,-0.023483069386777154
